Split Mata Kuliah,NAMA,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Bisnis dan Ekonomi,Teknologi,Seni,Sastra dan Linguistik,Pendidikan,Hukum,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum,highest
Morfologi,PENDIDIKAN BAHASA INDONESIA,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3,0.9,0.4,0.1,0.2,0.2,0.1,0.2,0.2,0.1,10
Fonologi,PENDIDIKAN BAHASA INDONESIA,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3,0.9,0.4,0.1,0.2,0.2,0.1,0.2,0.2,0.1,10
Pragmatik,PENDIDIKAN BAHASA INDONESIA,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3,0.9,0.4,0.1,0.2,0.2,0.1,0.2,0.2,0.1,10
Komunikasi Antarbudaya,PENDIDIKAN BAHASA INDONESIA,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3,0.9,0.4,0.1,0.2,0.2,0.1,0.2,0.2,0.1,10
Pajak Penghasilan,PERPAJAKAN,0.4,0.1,0.1,0.3,0.1,0.1,0.7,0.1,0.1,0.1,0.9,0.8,0.2,0.1,0.1,0.5,0.2,0.8,11
Pajak Pertambahan Nilai,PERPAJAKAN,0.4,0.1,0.1,0.3,0.1,0.1,0.7,0.1,0.1,0.1,0.9,0.8,0.2,0.1,0.1,0.5,0.2,0.8,11
Perpajakan Internasional,PERPAJAKAN,0.4,0.1,0.1,0.3,0.1,0.1,0.7,0.1,0.1,0.1,0.9,0.8,0.2,0.1,0.1,0.5,0.2,0.8,11
Perpajakan Daerah,PERPAJAKAN,0.4,0.1,0.1,0.3,0.1,0.1,0.7,0.1,0.1,0.1,0.9,0.8,0.2,0.1,0.1,0.5,0.2,0.8,11
Etika Bisnis dan Perpajakan,PERPAJAKAN,0.4,0.1,0.1,0.3,0.1,0.1,0.7,0.1,0.1,0.1,0.9,0.8,0.2,0.1,0.1,0.5,0.2,0.8,11
Anatomi dan Fisiologi I,KEBIDANAN,0.6,0.2,0.2,0.3,0.6,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.3,0.8,0.1,0.2,0.2,0.1,14
Kesehatan Reproduksi I,KEBIDANAN,0.6,0.2,0.2,0.3,0.6,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.3,0.8,0.1,0.2,0.2,0.1,14
Pengantar Ilmu Kesehatan,KEBIDANAN,0.6,0.2,0.2,0.3,0.6,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.3,0.8,0.1,0.2,0.2,0.1,14
Geografi Fisik,PENDIDIKAN GEOGRAFI,0.2,0.5,0.1,0.3,0.2,0.1,0.3,0.3,0.2,0.1,0.3,0.1,0.7,0.2,0.9,0.2,0.2,0.1,15
Geografi Manusia,PENDIDIKAN GEOGRAFI,0.2,0.5,0.1,0.3,0.2,0.1,0.3,0.3,0.2,0.1,0.3,0.1,0.7,0.2,0.9,0.2,0.2,0.1,15
Geografi Regional,PENDIDIKAN GEOGRAFI,0.2,0.5,0.1,0.3,0.2,0.1,0.3,0.3,0.2,0.1,0.3,0.1,0.7,0.2,0.9,0.2,0.2,0.1,15
Geografi Perkotaan,PENDIDIKAN GEOGRAFI,0.2,0.5,0.1,0.3,0.2,0.1,0.3,0.3,0.2,0.1,0.3,0.1,0.7,0.2,0.9,0.2,0.2,0.1,15
Geografi Desa,PENDIDIKAN GEOGRAFI,0.2,0.5,0.1,0.3,0.2,0.1,0.3,0.3,0.2,0.1,0.3,0.1,0.7,0.2,0.9,0.2,0.2,0.1,15
Dasar-Dasar Tata Boga,PENDIDIKAN TATA BOGA,0.1,0.2,0.2,0.3,0.1,0.1,0.4,0.1,0.7,0.1,0.3,0.2,0.2,0.1,0.2,0.3,0.1,0.2,9
Pengenalan Bahan Makanan,PENDIDIKAN TATA BOGA,0.1,0.2,0.2,0.3,0.1,0.1,0.4,0.1,0.7,0.1,0.3,0.2,0.2,0.1,0.2,0.3,0.1,0.2,9
Teknik Memasak,PENDIDIKAN TATA BOGA,0.1,0.2,0.2,0.3,0.1,0.1,0.4,0.1,0.7,0.1,0.3,0.2,0.2,0.1,0.2,0.3,0.1,0.2,9
Hygiene dan Sanitasi Dapur,PENDIDIKAN TATA BOGA,0.1,0.2,0.2,0.3,0.1,0.1,0.4,0.1,0.7,0.1,0.3,0.2,0.2,0.1,0.2,0.3,0.1,0.2,9
Pangan dan Gizi,PENDIDIKAN TATA BOGA,0.1,0.2,0.2,0.3,0.1,0.1,0.4,0.1,0.7,0.1,0.3,0.2,0.2,0.1,0.2,0.3,0.1,0.2,9
Bahasa Jepang,SASTRA JEPANG,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.2,0.1,0.4,0.1,10
Sastra Jepang Klasik,SASTRA JEPANG,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.2,0.1,0.4,0.1,10
Sejarah Jepang,SASTRA JEPANG,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.2,0.1,0.4,0.1,10
Budaya Jepang,SASTRA JEPANG,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.2,0.1,0.4,0.1,10
Filsafat Jepang,SASTRA JEPANG,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.2,0.1,0.4,0.1,10
Pengantar Ilmu Perpustakaan,ILMU PERPUSTAKAAN,0.2,0.1,0.1,0.6,0.0,0.1,0.2,0.2,0.1,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,4
Manajemen Perpustakaan,ILMU PERPUSTAKAAN,0.2,0.1,0.1,0.6,0.0,0.1,0.2,0.2,0.1,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,4
Katalogisasi dan Klasifikasi,ILMU PERPUSTAKAAN,0.2,0.1,0.1,0.6,0.0,0.1,0.2,0.2,0.1,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,4
Sistem Informasi Perpustakaan,ILMU PERPUSTAKAAN,0.2,0.1,0.1,0.6,0.0,0.1,0.2,0.2,0.1,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,4
Literasi Informasi,ILMU PERPUSTAKAAN,0.2,0.1,0.1,0.6,0.0,0.1,0.2,0.2,0.1,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,4
Prinsip Administrasi,PENDIDIKAN ADMINISTRASI PERKANTORAN,0.2,0.1,0.1,0.2,0.0,0.1,0.5,0.3,0.3,0.1,0.3,0.4,0.1,0.1,0.1,0.4,0.1,0.4,7
Komunikasi Bisnis,PENDIDIKAN ADMINISTRASI PERKANTORAN,0.2,0.1,0.1,0.2,0.0,0.1,0.5,0.3,0.3,0.1,0.3,0.4,0.1,0.1,0.1,0.4,0.1,0.4,7
Etika Profesi Administrasi,PENDIDIKAN ADMINISTRASI PERKANTORAN,0.2,0.1,0.1,0.2,0.0,0.1,0.5,0.3,0.3,0.1,0.3,0.4,0.1,0.1,0.1,0.4,0.1,0.4,7
Teknologi Informasi,PENDIDIKAN ADMINISTRASI PERKANTORAN,0.2,0.1,0.1,0.2,0.0,0.1,0.5,0.3,0.3,0.1,0.3,0.4,0.1,0.1,0.1,0.4,0.1,0.4,7
Ekonomi Islam Mikro,EKONOMI ISLAM,0.1,0.1,0.1,0.3,0.0,0.1,0.8,0.1,0.1,0.1,0.3,0.7,0.2,0.1,0.1,0.2,0.4,0.7,7
Ekonomi Islam Makro,EKONOMI ISLAM,0.1,0.1,0.1,0.3,0.0,0.1,0.8,0.1,0.1,0.1,0.3,0.7,0.2,0.1,0.1,0.2,0.4,0.7,7
Filsafat Ekonomi Islam,EKONOMI ISLAM,0.1,0.1,0.1,0.3,0.0,0.1,0.8,0.1,0.1,0.1,0.3,0.7,0.2,0.1,0.1,0.2,0.4,0.7,7
Dasar-dasar Ekonomi Islam,EKONOMI ISLAM,0.1,0.1,0.1,0.3,0.0,0.1,0.8,0.1,0.1,0.1,0.3,0.7,0.2,0.1,0.1,0.2,0.4,0.7,7
Etika Bisnis Islam,EKONOMI ISLAM,0.1,0.1,0.1,0.3,0.0,0.1,0.8,0.1,0.1,0.1,0.3,0.7,0.2,0.1,0.1,0.2,0.4,0.7,7
Mikroekonomi,ILMU EKONOMI,0.6,0.1,0.1,0.2,0.1,0.1,0.8,0.3,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.3,0.2,0.3,7
Makroekonomi,ILMU EKONOMI,0.6,0.1,0.1,0.2,0.1,0.1,0.8,0.3,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.3,0.2,0.3,7
Pemasaran,ILMU EKONOMI,0.6,0.1,0.1,0.2,0.1,0.1,0.8,0.3,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.3,0.2,0.3,7
Bahasa Indonesia,BAHASA DAN SASTRA INGGRIS,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.2,0.9,0.2,0.3,0.2,0.1,0.1,0.5,0.4,0.3,10
Bahasa Jawa,BAHASA DAN SASTRA INGGRIS,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.2,0.9,0.2,0.3,0.2,0.1,0.1,0.5,0.4,0.3,10
Bahasa Inggris,BAHASA DAN SASTRA INGGRIS,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.2,0.9,0.2,0.3,0.2,0.1,0.1,0.5,0.4,0.3,10
Filsafat,BAHASA DAN SASTRA INGGRIS,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.2,0.9,0.2,0.3,0.2,0.1,0.1,0.5,0.4,0.3,10
Bahasa Arab,BAHASA DAN SASTRA INGGRIS,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.2,0.9,0.2,0.3,0.2,0.1,0.1,0.5,0.4,0.3,10
Teori dan Metodologi Latihan,PENDIDIKAN KEPELATIHAN OLAHRAGA,0.2,0.2,0.2,0.2,0.6,0.2,0.4,0.1,0.1,0.1,0.4,0.1,0.1,0.6,0.2,0.2,0.2,0.1,5
Anatomi dan Fisiologi Manusia,PENDIDIKAN KEPELATIHAN OLAHRAGA,0.2,0.2,0.2,0.2,0.6,0.2,0.4,0.1,0.1,0.1,0.4,0.1,0.1,0.6,0.2,0.2,0.2,0.1,5
Psikologi dalam Olahraga,PENDIDIKAN KEPELATIHAN OLAHRAGA,0.2,0.2,0.2,0.2,0.6,0.2,0.4,0.1,0.1,0.1,0.4,0.1,0.1,0.6,0.2,0.2,0.2,0.1,5
Kesehatan dan Kebugaran,PENDIDIKAN KEPELATIHAN OLAHRAGA,0.2,0.2,0.2,0.2,0.6,0.2,0.4,0.1,0.1,0.1,0.4,0.1,0.1,0.6,0.2,0.2,0.2,0.1,5
Manajemen Olahraga,PENDIDIKAN KEPELATIHAN OLAHRAGA,0.2,0.2,0.2,0.2,0.6,0.2,0.4,0.1,0.1,0.1,0.4,0.1,0.1,0.6,0.2,0.2,0.2,0.1,5
Prinsip Ekonomi Syariah,EKONOMI SYARIAH,0.6,0.2,0.1,0.2,0.1,0.1,0.4,0.1,0.1,0.1,0.8,0.5,0.1,0.1,0.1,0.2,0.3,0.5,11
Akuntansi Syariah,EKONOMI SYARIAH,0.6,0.2,0.1,0.2,0.1,0.1,0.4,0.1,0.1,0.1,0.8,0.5,0.1,0.1,0.1,0.2,0.3,0.5,11
Hukum Ekonomi Syariah,EKONOMI SYARIAH,0.6,0.2,0.1,0.2,0.1,0.1,0.4,0.1,0.1,0.1,0.8,0.5,0.1,0.1,0.1,0.2,0.3,0.5,11
Manajemen Keuangan Syariah,EKONOMI SYARIAH,0.6,0.2,0.1,0.2,0.1,0.1,0.4,0.1,0.1,0.1,0.8,0.5,0.1,0.1,0.1,0.2,0.3,0.5,11
Perbankan Syariah,EKONOMI SYARIAH,0.6,0.2,0.1,0.2,0.1,0.1,0.4,0.1,0.1,0.1,0.8,0.5,0.1,0.1,0.1,0.2,0.3,0.5,11
Keselamatan dan Kesehatan Kerja Industri,KESELAMATAN DAN KESEHATAN KERJA,0.3,0.2,0.2,0.3,0.3,0.4,0.2,0.1,0.0,0.0,0.2,0.3,0.3,0.9,0.2,0.2,0.1,0.3,14
Higiene Industri,KESELAMATAN DAN KESEHATAN KERJA,0.3,0.2,0.2,0.3,0.3,0.4,0.2,0.1,0.0,0.0,0.2,0.3,0.3,0.9,0.2,0.2,0.1,0.3,14
Ergonomi Kerja,KESELAMATAN DAN KESEHATAN KERJA,0.3,0.2,0.2,0.3,0.3,0.4,0.2,0.1,0.0,0.0,0.2,0.3,0.3,0.9,0.2,0.2,0.1,0.3,14
Manajemen Risiko K3,KESELAMATAN DAN KESEHATAN KERJA,0.3,0.2,0.2,0.3,0.3,0.4,0.2,0.1,0.0,0.0,0.2,0.3,0.3,0.9,0.2,0.2,0.1,0.3,14
Penyuluhan Kesehatan Kerja,KESELAMATAN DAN KESEHATAN KERJA,0.3,0.2,0.2,0.3,0.3,0.4,0.2,0.1,0.0,0.0,0.2,0.3,0.3,0.9,0.2,0.2,0.1,0.3,14
Perilaku Organisasi,MANAJEMEN BISNIS,0.2,0.2,0.1,0.2,0.1,0.1,0.9,0.2,0.1,0.0,0.1,0.3,0.2,0.1,0.2,0.2,0.1,0.3,7
Bisnis Internasional,MANAJEMEN BISNIS,0.2,0.2,0.1,0.2,0.1,0.1,0.9,0.2,0.1,0.0,0.1,0.3,0.2,0.1,0.2,0.2,0.1,0.3,7
Pengantar Ilmu Tata Boga,TATA BOGA,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.7,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.1,0.1,9
Nutrisi dan Dietetik,TATA BOGA,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.7,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.1,0.1,9
Teknik Dasar Memasak,TATA BOGA,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.7,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.1,0.1,9
Higiene dan Sanitasi Makanan,TATA BOGA,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.7,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.1,0.1,9
Manajemen Dapur,TATA BOGA,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.7,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.1,0.1,9
Rekayasa Sumber Daya Mineral,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM),0.3,0.2,0.5,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.2,0.3,0.4,0.1,0.7,0.3,0.1,0.3,15
Teknik Penambangan,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM),0.3,0.2,0.5,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.2,0.3,0.4,0.1,0.7,0.3,0.1,0.3,15
Teknik Perminyakan,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM),0.3,0.2,0.5,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.2,0.3,0.4,0.1,0.7,0.3,0.1,0.3,15
Geologi,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM),0.3,0.2,0.5,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.2,0.3,0.4,0.1,0.7,0.3,0.1,0.3,15
Geoteknik,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM),0.3,0.2,0.5,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.2,0.3,0.4,0.1,0.7,0.3,0.1,0.3,15
Klimatologi Pertanian,TEKNIK PERTANIAN,0.5,0.4,0.2,0.3,0.6,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.7,0.2,0.8,0.2,0.1,0.2,15
Penyuluhan Pertanian,TEKNIK PERTANIAN,0.5,0.4,0.2,0.3,0.6,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.7,0.2,0.8,0.2,0.1,0.2,15
Teknologi Pengolahan Hasil Pertanian,TEKNIK PERTANIAN,0.5,0.4,0.2,0.3,0.6,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.7,0.2,0.8,0.2,0.1,0.2,15
Sumber Daya Manusia,SEKOLAH BISNIS DAN MANAJEMEN (SBM),0.3,0.2,0.1,0.2,0.1,0.1,0.9,0.1,0.1,0.1,0.2,0.4,0.2,0.1,0.3,0.5,0.2,0.4,7
Akuntansi,SEKOLAH BISNIS DAN MANAJEMEN (SBM),0.3,0.2,0.1,0.2,0.1,0.1,0.9,0.1,0.1,0.1,0.2,0.4,0.2,0.1,0.3,0.5,0.2,0.4,7
Sains Data Dasar,SAINS DATA,0.8,0.3,0.2,0.1,0.2,0.1,0.6,0.5,0.2,0.1,0.1,0.3,0.2,0.1,0.2,0.3,0.2,0.3,1
Statistik,SAINS DATA,0.8,0.3,0.2,0.1,0.2,0.1,0.6,0.5,0.2,0.1,0.1,0.3,0.2,0.1,0.2,0.3,0.2,0.3,1
Database Management,SAINS DATA,0.8,0.3,0.2,0.1,0.2,0.1,0.6,0.5,0.2,0.1,0.1,0.3,0.2,0.1,0.2,0.3,0.2,0.3,1
Machine Learning,SAINS DATA,0.8,0.3,0.2,0.1,0.2,0.1,0.6,0.5,0.2,0.1,0.1,0.3,0.2,0.1,0.2,0.3,0.2,0.3,1
Big Data Analysis,SAINS DATA,0.8,0.3,0.2,0.1,0.2,0.1,0.6,0.5,0.2,0.1,0.1,0.3,0.2,0.1,0.2,0.3,0.2,0.3,1
Ilmu Arkeologi ,ILMU SEJARAH,0.1,0.2,0.1,0.4,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.9,0.3,17
Ilmu Purbakala ,ILMU SEJARAH,0.1,0.2,0.1,0.4,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.9,0.3,17
Sejarah Peradaban ,ILMU SEJARAH,0.1,0.2,0.1,0.4,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.9,0.3,17
Sejarah Indonesia ,ILMU SEJARAH,0.1,0.2,0.1,0.4,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.9,0.3,17
Sejarah Dunia ,ILMU SEJARAH,0.1,0.2,0.1,0.4,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.9,0.3,17
Metode Penelitian Sosial,PENDIDIKAN SOSIOLOGI,0.2,0.3,0.2,0.9,0.2,0.2,0.4,0.2,0.2,0.2,0.5,0.3,0.4,0.2,0.4,0.2,0.3,0.3,4
Kewirausahaan,KEWIRAUSAHAAN,0.4,0.1,0.1,0.3,0.1,0.1,0.7,0.3,0.2,0.1,0.2,0.5,0.2,0.2,0.2,0.5,0.2,0.5,7
Manajemen,KEWIRAUSAHAAN,0.4,0.1,0.1,0.3,0.1,0.1,0.7,0.3,0.2,0.1,0.2,0.5,0.2,0.2,0.2,0.5,0.2,0.5,7
Keuangan,KEWIRAUSAHAAN,0.4,0.1,0.1,0.3,0.1,0.1,0.7,0.3,0.2,0.1,0.2,0.5,0.2,0.2,0.2,0.5,0.2,0.5,7
Desain Busana,PENDIDIKAN TATA BUSANA,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.8,0.0,0.2,0.1,0.2,0.1,0.1,0.4,0.1,0.1,9
Pola dan Konstruksi Busana,PENDIDIKAN TATA BUSANA,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.8,0.0,0.2,0.1,0.2,0.1,0.1,0.4,0.1,0.1,9
Teknik Pembuatan Busana,PENDIDIKAN TATA BUSANA,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.8,0.0,0.2,0.1,0.2,0.1,0.1,0.4,0.1,0.1,9
Seni Lukis dan Batik,PENDIDIKAN TATA BUSANA,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.8,0.0,0.2,0.1,0.2,0.1,0.1,0.4,0.1,0.1,9
Kriya Tekstil,PENDIDIKAN TATA BUSANA,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.8,0.0,0.2,0.1,0.2,0.1,0.1,0.4,0.1,0.1,9
Pengantar Ilmu Komunikasi,HUBUNGAN MASYARAKAT,0.2,0.1,0.0,0.2,0.0,0.0,0.6,0.2,0.2,0.1,0.1,0.7,0.3,0.2,0.2,0.9,0.6,0.7,16
Psikologi Komunikasi,HUBUNGAN MASYARAKAT,0.2,0.1,0.0,0.2,0.0,0.0,0.6,0.2,0.2,0.1,0.1,0.7,0.3,0.2,0.2,0.9,0.6,0.7,16
Komunikasi Massa,HUBUNGAN MASYARAKAT,0.2,0.1,0.0,0.2,0.0,0.0,0.6,0.2,0.2,0.1,0.1,0.7,0.3,0.2,0.2,0.9,0.6,0.7,16
Manajemen Humas,HUBUNGAN MASYARAKAT,0.2,0.1,0.0,0.2,0.0,0.0,0.6,0.2,0.2,0.1,0.1,0.7,0.3,0.2,0.2,0.9,0.6,0.7,16
Marketing Public Relation,HUBUNGAN MASYARAKAT,0.2,0.1,0.0,0.2,0.0,0.0,0.6,0.2,0.2,0.1,0.1,0.7,0.3,0.2,0.2,0.9,0.6,0.7,16
Sistem Informasi,MANAJEMEN INFORMATIKA,0.8,0.4,0.2,0.2,0.2,0.1,0.5,0.9,0.1,0.1,0.3,0.1,0.2,0.2,0.1,0.3,0.2,0.1,8
Algoritma dan Struktur Data,MANAJEMEN INFORMATIKA,0.8,0.4,0.2,0.2,0.2,0.1,0.5,0.9,0.1,0.1,0.3,0.1,0.2,0.2,0.1,0.3,0.2,0.1,8
Teknologi Pendidikan,TEKNOLOGI PENDIDIKAN,0.3,0.1,0.1,0.2,0.0,0.0,0.1,0.9,0.3,0.1,0.9,0.1,0.0,0.0,0.0,0.3,0.1,0.1,8
Pengantar Teknologi Pendidikan,TEKNOLOGI PENDIDIKAN,0.3,0.1,0.1,0.2,0.0,0.0,0.1,0.9,0.3,0.1,0.9,0.1,0.0,0.0,0.0,0.3,0.1,0.1,8
Desain Instruksional,TEKNOLOGI PENDIDIKAN,0.3,0.1,0.1,0.2,0.0,0.0,0.1,0.9,0.3,0.1,0.9,0.1,0.0,0.0,0.0,0.3,0.1,0.1,8
Evaluasi Pembelajaran,TEKNOLOGI PENDIDIKAN,0.3,0.1,0.1,0.2,0.0,0.0,0.1,0.9,0.3,0.1,0.9,0.1,0.0,0.0,0.0,0.3,0.1,0.1,8
Multimedia Pembelajaran,TEKNOLOGI PENDIDIKAN,0.3,0.1,0.1,0.2,0.0,0.0,0.1,0.9,0.3,0.1,0.9,0.1,0.0,0.0,0.0,0.3,0.1,0.1,8
Pendidikan pancasila,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.3,0.6,0.8,0.2,0.0,0.2,0.6,0.6,0.8,12
Ilmu kependidikan,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.3,0.6,0.8,0.2,0.0,0.2,0.6,0.6,0.8,12
Ilmu negara,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.3,0.6,0.8,0.2,0.0,0.2,0.6,0.6,0.8,12
Ilmu hukum,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.3,0.6,0.8,0.2,0.0,0.2,0.6,0.6,0.8,12
Ilmu politik,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.3,0.6,0.8,0.2,0.0,0.2,0.6,0.6,0.8,12
Biomekanik,FISIOTERAPI,0.2,0.8,0.4,0.1,0.9,0.1,0.1,0.3,0.0,0.0,0.2,0.1,0.1,1.0,0.0,0.2,0.0,0.1,14
Kinesiologi,FISIOTERAPI,0.2,0.8,0.4,0.1,0.9,0.1,0.1,0.3,0.0,0.0,0.2,0.1,0.1,1.0,0.0,0.2,0.0,0.1,14
Terapi Manual,FISIOTERAPI,0.2,0.8,0.4,0.1,0.9,0.1,0.1,0.3,0.0,0.0,0.2,0.1,0.1,1.0,0.0,0.2,0.0,0.1,14
Teori Pemasaran,MANAJEMEN PEMASARAN,0.1,0.0,0.0,0.2,0.0,0.0,0.8,0.2,0.2,0.1,0.1,0.2,0.0,0.0,0.0,0.6,0.0,0.2,7
Riset Pasar,MANAJEMEN PEMASARAN,0.1,0.0,0.0,0.2,0.0,0.0,0.8,0.2,0.2,0.1,0.1,0.2,0.0,0.0,0.0,0.6,0.0,0.2,7
Pemasaran Strategis,MANAJEMEN PEMASARAN,0.1,0.0,0.0,0.2,0.0,0.0,0.8,0.2,0.2,0.1,0.1,0.2,0.0,0.0,0.0,0.6,0.0,0.2,7
Manajemen Brand,MANAJEMEN PEMASARAN,0.1,0.0,0.0,0.2,0.0,0.0,0.8,0.2,0.2,0.1,0.1,0.2,0.0,0.0,0.0,0.6,0.0,0.2,7
Teknologi Pangan,ILMU DAN TEKNOLOGI PANGAN,0.2,0.8,0.2,0.1,0.5,0.9,0.3,0.7,0.1,0.0,0.1,0.1,0.3,0.7,0.1,0.0,0.0,0.1,6
Pengolahan Pangan,ILMU DAN TEKNOLOGI PANGAN,0.2,0.8,0.2,0.1,0.5,0.9,0.3,0.7,0.1,0.0,0.1,0.1,0.3,0.7,0.1,0.0,0.0,0.1,6
Sensori Pangan,ILMU DAN TEKNOLOGI PANGAN,0.2,0.8,0.2,0.1,0.5,0.9,0.3,0.7,0.1,0.0,0.1,0.1,0.3,0.7,0.1,0.0,0.0,0.1,6
Teori dan Praktek Administrasi Pendidikan,ADMINISTRASI PENDIDIKAN,0.1,0.1,0.0,0.3,0.0,0.0,0.2,0.2,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.2,0.1,0.2,11
Manajemen Pendidikan,ADMINISTRASI PENDIDIKAN,0.1,0.1,0.0,0.3,0.0,0.0,0.2,0.2,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.2,0.1,0.2,11
Evaluasi Pendidikan,ADMINISTRASI PENDIDIKAN,0.1,0.1,0.0,0.3,0.0,0.0,0.2,0.2,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.2,0.1,0.2,11
Kebijakan Pendidikan,ADMINISTRASI PENDIDIKAN,0.1,0.1,0.0,0.3,0.0,0.0,0.2,0.2,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.2,0.1,0.2,11
Pengantar Pekerjaan Sosial,ILMU KESEJAHTERAAN SOSIAL,0.0,0.1,0.0,0.7,0.0,0.0,0.3,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.1,0.2,0.1,4
Dasar-dasar Ilmu Sosial,ILMU KESEJAHTERAAN SOSIAL,0.0,0.1,0.0,0.7,0.0,0.0,0.3,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.1,0.2,0.1,4
