ID,NAMA,PEMINAT 2023,Description,for_who,Mata Kuliah,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum
195,ANIMASI,741,"Animasi adalah salah satu jurusan kuliah yang mengajarkan tentang pembuatan gambar bergerak atau visualisasi grafis yang digerakkan. Jurusan ini menyediakan pelatihan dalam berbagai teknik animasi, seperti animasi kartun, animasi 3D, animasi digital, maupun efek visual. Selain itu, mahasiswa juga akan belajar tentang konsep desain karakter, storyboard, pengeditan video, dan animasi interaktif. Jurusan animasi biasanya menarik bagi mereka yang memiliki minat dalam seni dan kreativitas, serta memiliki kemampuan dalam menggambar dan desain visual. Karir yang bisa diambil setelah lulus dari jurusan animasi antara lain animator, desainer animasi, ilustrator digital, dan pembuat efek visual.","Jurusan ini adalah jurusan untuk orang yang menyukai seni animasi. Dalam program studi ini, mahasiswa akan belajar tentang teknik-teknik animasi, pengembangan karakter, pembuatan film animasi, dan berbagai aspek lainnya yang terkait dengan dunia animasi. Mereka akan belajar cara menghidupkan karakter-karakter fiktif melalui gerakan-gerakan yang realistis, serta bagaimana menggabungkan animasi dengan audio untuk menciptakan karya-karya yang menarik dan menghibur. Dengan berkembangnya industri hiburan dan media digital, lulusan dari jurusan ini memiliki peluang karir yang luas di bidang animasi, film, televisi, dan periklanan.","1. Komunikasi Audio Visual
2. Desain Grafis
3. Produksi Film
4. Pemodelan 3D
5. Pengembangan Game
6. Sinematografi
7. Tata Rias dan Busana
8. Seni Animasi
9. Penyuntingan Video
10. Ilustrasi Digital",0.20,0.30,0.20,0.30,0.10,0.10,0.50,0.10,0.70,0.10,0.30,0.20,0.00,0.20,0.50,0.20,0.10
196,MANAJEMEN DAN KEBIJAKAN PUBLIK,740," Jurusan Manajemen dan Kebijakan Publik membahas tentang berbagai konsep, teori, dan praktek terkait manajemen organisasi dan kebijakan publik. Jurusan ini mengkombinasikan ilmu manajemen dengan ilmu kebijakan publik untuk menghasilkan pemimpin yang mampu mengelola organisasi secara efisien dan efektif dalam memenuhi kebutuhan masyarakat. Mahasiswa jurusan ini akan mempelajari cara merencanakan, mengorganisasi, memimpin, dan mengontrol organisasi baik di sektor publik maupun swasta. Mereka juga akan mempelajari tentang proses pengambilan keputusan yang berkaitan dengan kebijakan publik dan bagaimana menerapkannya dalam konteks sosial dan politik. Dengan demikian, lulusan jurusan Manajemen dan Kebijakan Publik diharapkan dapat menjadi agen perubahan dalam masyarakat melalui peran mereka sebagai pemimpin yang memiliki pemahaman yang mendalam tentang manajemen dan kebijakan publik.","Jurusan manajemen dan kebijakan publik adalah jurusan yang cocok bagi orang yang menyukai analisa, perencanaan, dan implementasi kebijakan publik. Orang yang memilih jurusan ini biasanya memiliki minat pada masalah-masalah sosial dan politik yang kompleks, serta tertarik untuk mencari solusi yang efektif dan efisien. Mereka juga harus memiliki kemampuan komunikasi dan negosiasi yang baik untuk bekerja dengan berbagai pihak terkait dalam membuat kebijakan publik yang berdampak positif bagi masyarakat. Jurusan ini juga menuntut kreativitas, inovasi, dan kepemimpinan dalam mengelola proyek-proyek publik yang berdampak luas.","1. Manajemen Sumber Daya Manusia
2. Kebijakan Publik
3. Etika Administrasi Publik
4. Pengelolaan Keuangan Publik
5. Kepemimpinan Organisasi Publik
6. Evaluasi Program dan Kebijakan Publik
7. Administrasi Negara
8. Analisis Kebijakan Publik
9. Manajemen Konflik dalam Organisasi Publik
10. Hukum Administrasi Negara",0.20,0.10,0.10,0.60,0.10,0.20,0.10,0.20,0.10,0.10,0.20,0.20,0.40,0.10,0.20,0.20,0.30
197,KESEHATAN LINGKUNGAN,739,"Jurusan kuliah tentang Kesehatan Lingkungan memiliki fokus pada memahami hubungan antara faktor lingkungan dengan kesehatan manusia. Mahasiswa dalam jurusan ini akan belajar tentang dampak dari polusi udara, air, tanah, suara, serta faktor-faktor lainnya terhadap kesehatan manusia. Mereka juga akan mempelajari tentang cara-cara untuk mencegah dan mengatasi masalah lingkungan yang berdampak negatif terhadap kesehatan masyarakat.

Selain itu, mahasiswa juga akan mempelajari tentang kebijakan-kebijakan yang berkaitan dengan kesehatan lingkungan, teknologi-teknologi terbaru dalam monitoring lingkungan, dan cara berpartisipasi dalam upaya menjaga lingkungan agar tetap sehat. Dengan memahami interaksi kompleks antara manusia dan lingkungan, lulusan dari jurusan ini diharapkan dapat menjadi tenaga ahli yang mampu memberikan solusi dan rekomendasi untuk menjaga kesehatan manusia dan lingkungan secara keseluruhan.","Jurusan ini adalah jurusan untuk orang yang menyukai lingkungan dan kesehatan. Mereka yang memiliki minat dalam menjaga kelestarian alam, mengurangi dampak negatif terhadap lingkungan, serta memahami pentingnya kesehatan bagi manusia dan makhluk lain. Orang-orang yang memilih jurusan kehalian lingkungan biasanya peduli terhadap polusi udara, air, dan tanah, serta mencari solusi untuk mengatasi masalah-masalah tersebut. Mereka juga tertarik untuk mempelajari cara-cara untuk meningkatkan kualitas hidup manusia melalui upaya pencegahan penyakit dan promosi gaya hidup sehat. Dengan memilih jurusan ini, mereka dapat berperan dalam membangun lingkungan yang lebih bersih dan sehat untuk generasi mendatang.","1. Kesehatan Lingkungan
2. Toksikologi Lingkungan
3. Epidemiologi Lingkungan
4. Sanitasi Lingkungan
5. Biologi Lingkungan
6. Kimia Lingkungan
7. Hidrologi Lingkungan
8. Pencemaran Udara
9. Pencemaran Air
10. Kesehatan Masyarakat",0.30,0.90,0.20,0.30,0.40,0.20,0.10,0.10,0.20,0.00,0.30,0.70,0.70,0.40,0.30,0.20,0.30
198,PENDIDIKAN VOKASIONAL SENI KULINER,731,"Pendidikan Vokasional Seni Kuliner mencakup penyelenggaraan pendidikan yang bertujuan untuk melatih dan mengembangkan keahlian di bidang kuliner. Jurusan ini mengajarkan berbagai keterampilan praktis, mulai dari teknik memasak, presentasi hidangan, manajemen dapur, hingga pengelolaan bisnis kuliner.

Mahasiswa yang mengambil jurusan Pendidikan Vokasional Seni Kuliner akan belajar tentang berbagai jenis masakan tradisional maupun modern, bahan-bahan makanan yang digunakan, teknik memasak yang tepat, serta cara menyajikan hidangan dengan estetika yang menarik. Mereka juga akan diajarkan tentang prinsip-prinsip kebersihan, keamanan pangan, dan peraturan kesehatan yang berlaku di industri kuliner.

Selain itu, mahasiswa juga akan belajar tentang manajemen dapur, tata cara pengelolaan restoran atau usaha kuliner lainnya, serta strategi pemasaran dan promosi produk makanan. Dengan demikian, lulusan jurusan Pendidikan Vokasional Seni Kuliner akan siap untuk bekerja di berbagai industri kuliner, baik sebagai koki, chef, pengelola restoran, maupun pemilik usaha kuliner.","Jurusan Pendidikan Vokasional Seni Kuliner adalah jurusan untuk orang yang memiliki minat dan bakat dalam seni kuliner. Mereka yang memilih jurusan ini biasanya memiliki passion dalam memasak, mencoba resep baru, dan mengolah bahan makanan menjadi hidangan lezat. Mereka juga memiliki ketertarikan pada dunia kuliner, mulai dari teknik memasak, dekorasi hidangan, hingga manajemen dapur. Melalui jurusan ini, para siswa akan mendapatkan pengetahuan dan keterampilan praktis dalam memasak serta memahami industri kuliner secara lebih mendalam, sehingga dapat menjadi chef atau ahli kuliner yang profesional di masa depan.","1. Patiseri
2. Teknik Dasar Masak
3. Kebersihan dan Keselamatan Pangan
4. Manajemen Dapur
5. Dessert Decoration
6. Food and Beverage Service
7. Pengelolaan Usaha Kuliner
8. Food Photography
9. Food Styling
10. Cuisine Techniques",0.20,0.10,0.10,0.10,0.10,0.10,0.00,0.50,0.80,0.10,0.20,0.30,0.10,0.20,0.20,0.20,0.20
199,TEKNIK KELAUTAN,731,"Teknik Kelautan adalah jurusan kuliah yang mempelajari teknologi dan rekayasa yang berkaitan dengan pengelolaan sumber daya kelautan. Jurusan ini membahas tentang perancangan dan konstruksi kapal, sistem navigasi, penerapan teknologi bawah air, serta pengelolaan lingkungan laut. Mahasiswa jurusan Teknik Kelautan akan mempelajari berbagai mata kuliah seperti hidrolika, mekanika fluida, material teknik kelautan, dan teknik konstruksi kapal. Mereka juga akan diajari tentang peraturan dan standar keselamatan maritim serta pembangunan infrastruktur kelautan. Setelah lulus, lulusan Teknik Kelautan memiliki kesempatan karir di industri maritim, perusahaan perkapalan, lembaga pemerintah terkait dengan kelautan, dan juga dapat bekerja dalam bidang penelitian dan pengembangan teknologi kelautan.","Jurusan Teknik Kelautan adalah jurusan yang cocok untuk orang yang memiliki minat dan passion dalam menggali potensi laut serta memahami teknologi yang berkaitan dengan bidang kelautan. Orang yang menyukai jurusan ini biasanya memiliki ketertarikan pada kehidupan laut, perlindungan lingkungan, teknologi maritim, dan kegiatan di perairan. Mereka juga gemar belajar tentang konstruksi kapal, manajemen sumber daya alam, navigasi, dan rekayasa kelautan. Jurusan ini memberikan peluang bagi para mahasiswa untuk dapat mengembangkan keterampilan teknis dan pengetahuan dalam bidang kelautan sehingga dapat berkontribusi dalam pembangunan industri maritim.","1. Pengantar Teknik Kelautan
2. Hidrodinamika
3. Dinamika Struktur Offshore
4. Sistem Propulsi Kapal
5. Manajemen Proyek Kelautan
6. Sistem Navigasi dan Komunikasi Maritim
7. Teknologi Penangkapan Ikan
8. Pemodelan Sumberdaya Laut
9. Hukum Laut Internasional
10. Pengelolaan Lingkungan Kelautan",0.35,0.20,0.40,0.30,0.40,0.10,0.10,0.30,0.10,0.00,0.20,0.70,0.10,0.40,0.20,0.30,0.30
200,ADMINISTRASI PERPAJAKAN,728,"Jurusan Administrasi Perpajakan merupakan program studi yang mempelajari berbagai teknik dan metode dalam pengelolaan administrasi perpajakan. Mahasiswa yang mengambil jurusan ini akan belajar mengenai berbagai aturan perpajakan, prosedur pengajuan pajak, dan perhitungan pajak yang berlaku. Mereka juga akan mempelajari tentang kebijakan perpajakan yang berlaku di Indonesia dan menyusun strategi perpajakan yang efektif bagi perusahaan atau individu. Selain itu, mahasiswa juga akan dilatih dalam kemampuan analisis, audit, dan penyelesaian masalah terkait perpajakan. Jurusan ini menawarkan peluang karir yang luas, seperti menjadi auditor pajak, konsultan pajak, analis pajak, atau bahkan pengusaha bidang perpajakan.","Jurusan Administrasi Perpajakan adalah jurusan yang cocok bagi orang yang menyukai bidang perpajakan, administrasi, dan keuangan. Mereka yang memilih jurusan ini biasanya memiliki ketertarikan dalam memahami sistem perpajakan, mengelola data keuangan perusahaan, serta mengoptimalkan pengelolaan pajak agar sesuai dengan peraturan yang berlaku. Mereka juga harus memiliki kemampuan analisis yang baik, teliti, dan berorientasi pada detail. Jurusan ini memberikan pengetahuan dan keterampilan untuk bekerja di berbagai bidang terkait perpajakan seperti konsultan pajak, akuntan, auditor, atau pegawai pajak. Bagi yang memiliki minat dalam bidang tersebut, jurusan Administrasi Perpajakan adalah pilihan yang tepat.","1. Pajak Bumi dan Bangunan
2. Hukum Perpajakan
3. Kebijakan Fiskal
4. Akuntansi Pajak
5. Pajak Penghasilan
6. Pajak Pertambahan Nilai
7. Pemeriksaan Pajak
8. Administrasi Pajak
9. Perpajakan Internasional
10. Pajak Daerah",0.30,0.10,0.10,0.20,0.10,0.10,0.10,0.30,0.10,0.10,0.50,0.10,0.00,0.10,0.20,0.40,0.30
201,PERPUSTAKAAN DAN ILMU INFORMASI,727,"Jurusan Ilmu Informasi adalah program studi yang mempelajari tentang pengelolaan informasi dalam berbagai bentuk baik secara tradisional maupun secara digital. Mahasiswa jurusan ini akan mempelajari teknologi informasi, manajemen informasi, sistem basis data, serta keamanan informasi. Mereka juga akan belajar analisis informasi untuk dapat menghasilkan keputusan yang tepat serta mengembangkan sistem informasi yang efektif dan efisien. Jurusan Ilmu Informasi memiliki peran yang penting dalam mendukung perkembangan teknologi informasi dan komunikasi di era digital ini.","Jurusan Perpustakaan dan Ilmu Informasi adalah jurusan yang cocok untuk orang yang memiliki ketertarikan dalam dunia literasi, informasi, dan pengetahuan. Para mahasiswa jurusan ini akan belajar tentang manajemen perpustakaan, sistem informasi, pengorganisasian dan pengelolaan informasi, serta teknologi terkini dalam bidang pengarsipan dan penyimpanan data. Mereka juga akan belajar tentang kemampuan analisis dan penelitian yang berkaitan dengan informasi, serta kemampuan komunikasi yang efektif dalam menyampaikan pengetahuan kepada orang lain. Jurusan ini membuka peluang karir di berbagai bidang seperti perpustakaan, penerbitan, media informasi, dan industri kreatif lainnya.","1. Perpustakaan Digital
2. Sistem Informasi
3. Manajemen Informasi
4. Pengembangan koleksi informasi
5. Literasi Informasi
6. Pengantar Ilmu Perpustakaan
7. Pengelolaan Informasi dan Dokumentasi
8. Metode Penelitian Ilmu Informasi
9. Database Management System
10. Etika Profesi Informasi",0.20,0.10,0.20,0.20,0.10,0.10,0.80,0.10,0.10,0.20,0.30,0.30,0.20,0.20,0.20,0.20,0.30
202,AGRONOMI,726,"AGRONOMI merupakan jurusan yang mempelajari secara mendalam tentang ilmu dan teknologi dalam bidang pertanian. Melalui jurusan ini, mahasiswa akan mempelajari berbagai teknik dan metode yang berkaitan dengan produksi tanaman, pemilihan bibit tanaman, pengelolaan lahan pertanian, pengendalian hama dan penyakit tanaman, serta penerapan teknologi pertanian yang inovatif. Selain itu, mahasiswa juga akan mempelajari tentang pengelolaan sumber daya alam dan lingkungan dalam konteks pertanian berkelanjutan. Dengan demikian, lulusan dari jurusan AGRONOMI diharapkan mampu menjadi ahli yang kompeten dalam meningkatkan produktivitas dan kesejahteraan petani serta berkontribusi dalam pembangunan sektor pertanian yang berkelanjutan.","Agronomi adalah jurusan yang cocok untuk orang yang memiliki minat dan kecintaan pada bidang pertanian serta ilmu tanah. Jurusan ini mempelajari seluk beluk tentang pengelolaan sumber daya alam seperti tanah, air, dan tanaman. Agronomi juga mempelajari teknik-teknik pertanian modern yang bertujuan untuk meningkatkan produktivitas tanaman dan menjaga keberlanjutan lingkungan. Orang yang memilih jurusan ini harus memiliki ketelitian, keahlian analitis, serta semangat untuk terus belajar mengenai inovasi pertanian. Kesungguhan dan ketekunan dalam bekerja dengan tanaman serta keinginan untuk berkontribusi dalam meningkatkan ketahanan pangan adalah hal yang penting dalam studi agronomi.","1. Dasar-dasar Pertanian
2. Agroklimatologi
3. Ilmu Tanah
4. Hama dan Penyakit Tanaman
5. Pemuliaan Tanaman
6. Ilmu Hama Tanaman
7. Konservasi Tanah dan Air
8. Agribisnis
9. Manajemen Agroindustri
10. Fisiologi Tanaman",0.20,0.40,0.20,0.20,0.30,0.10,0.45,0.70,0.10,0.10,0.10,0.40,0.10,0.30,0.10,0.20,0.10
203,PENDIDIKAN BAHASA JAWA,726," Jurusan Pendidikan Bahasa Jawa memiliki fokus pada pengembangan dan penerapan metode pengajaran Bahasa Jawa yang efektif. Mahasiswa dalam jurusan ini akan mempelajari berbagai aspek Bahasa Jawa, termasuk tata bahasa, struktur kalimat, keragaman dialek, sastra, dan budaya Jawa. Mereka juga akan belajar tentang strategi pengajaran Bahasa Jawa yang inovatif dan relevan dengan perkembangan zaman. Selain itu, mahasiswa jurusan Pendidikan Bahasa Jawa juga akan mengembangkan keterampilan dalam merancang kurikulum, evaluasi pembelajaran, dan memahami kebutuhan para siswa dalam mempelajari Bahasa Jawa. Sebagai lulusan jurusan ini, mereka memiliki kesempatan untuk menjadi guru Bahasa Jawa, peneliti bahasa dan sastra Jawa, atau pengembang kurikulum Bahasa Jawa.","Jurusan Pendidikan Bahasa Jawa adalah jurusan untuk orang yang memiliki minat dan kecintaan terhadap bahasa Jawa. Mereka yang memilih jurusan ini biasanya memiliki ketertarikan dalam mempelajari aspek-aspek bahasa Jawa, seperti tata bahasa, sastra, linguistik, dan sejarah bahasa Jawa. Mereka juga tertarik untuk menggali dan mempelajari kekayaan budaya dan kesusastraan Jawa. Selain itu, orang yang memilih jurusan ini juga memiliki tujuan untuk menjadi pendidik atau pengajar bahasa Jawa, baik di sekolah maupun dalam konteks lainnya. Jurusan ini sangat cocok bagi mereka yang ingin melestarikan dan mengembangkan kekayaan bahasa dan budaya Jawa.","1. Filsafat Bahasa Jawa
2. Sejarah Bahasa Jawa
3. Tata Bahasa Jawa
4. Sastra Jawa Kuno
5. Linguistik Bahasa Jawa
6. Semantik Bahasa Jawa
7. Fonologi Bahasa Jawa
8. Morfologi Bahasa Jawa
9. Pragmatik Bahasa Jawa
10. Pembelajaran Bahasa Jawa",0.10,0.30,0.20,0.30,0.10,0.10,0.20,0.00,0.10,0.60,0.60,0.30,0.20,0.20,0.30,0.30,0.20
204,TEKNIK SIPIL DAN LINGKUNGAN,725,"Jurusan Teknik Sipil dan Lingkungan adalah salah satu cabang ilmu teknik yang mempelajari tentang perencanaan, perancangan, dan konstruksi infrastruktur fisik seperti jalan, jembatan, gedung, serta manajemen lingkungan untuk menjaga keberlanjutan dan keseimbangan alam. Mahasiswa jurusan ini akan belajar tentang berbagai metode dan teknologi dalam merencanakan struktur bangunan, mengelola proyek konstruksi, serta memahami dampak lingkungan dari pembangunan tersebut. Mereka juga akan mempelajari tentang ketersediaan sumber daya alam, kualitas udara dan air, serta strategi dalam menjaga kelestarian lingkungan sekitar. Dengan demikian, lulusan jurusan Teknik Sipil dan Lingkungan diharapkan mampu menjadi profesional yang memiliki keahlian dalam membangun infrastruktur yang berkelanjutan serta peduli terhadap lingkungan sekitar.","Jurusan Teknik Sipil dan Lingkungan adalah jurusan ideal bagi orang yang menyukai tantangan, keberagaman, dan kreativitas dalam memecahkan masalah terkait infrastruktur, lingkungan, dan sumber daya alam. Mereka yang memilih jurusan ini harus memiliki keinginan untuk terlibat dalam pembangunan infrastruktur yang berkelanjutan dan ramah lingkungan, serta memiliki kemampuan analisis dan pemecahan masalah yang baik. Mereka juga harus memiliki rasa tanggung jawab yang tinggi terhadap lingkungan dan masyarakat sekitar. Dengan memilih jurusan ini, mereka akan dibekali dengan pengetahuan dan keterampilan untuk menghadapi tantangan dunia konstruksi dan lingkungan yang terus berkembang.","1. Mekanika Tanah
2. Beton Pracetak
3. Struktur Baja
4. Drainase Lingkungan
5. Teknik pengukuran
6. Manajemen Proyek Konstruksi
7. Transportasi
8. Hidrologi
9. Rekayasa Geoteknik
10. Perencanaan Tata Kota",0.60,0.30,0.70,0.10,0.10,0.10,0.30,0.30,0.20,0.10,0.40,0.60,0.10,0.30,0.10,0.30,0.20
205,ILMU DAN INDUSTRI PETERNAKAN,717,"Jurusan Ilmu dan Industri Peternakan adalah sebuah program studi yang mempelajari tentang ilmu peternakan dan pengelolaan bisnis peternakan secara holistik. Mahasiswa jurusan ini akan belajar mengenai berbagai aspek dalam industri peternakan, mulai dari manajemen peternakan, nutrisi ternak, pemuliaan ternak, kesehatan ternak, hingga pemasaran produk ternak.

Dengan demikian, lulusan jurusan Ilmu dan Industri Peternakan diharapkan memiliki pengetahuan dan keterampilan yang mendalam dalam mengelola usaha peternakan secara efisien dan berkelanjutan. Mereka juga diharapkan mampu mengembangkan inovasi untuk meningkatkan produktivitas ternak serta menerapkan prinsip-prinsip bisnis yang baik dalam mengelola usaha peternakan.

Selain itu, lulusan jurusan ini juga memiliki peluang kerja yang luas, baik di sektor peternakan maupun di berbagai industri yang berkaitan dengan produk ternak. Mereka dapat bekerja sebagai manajer peternakan, konsultan peternakan, penyuluhan pertanian, peneliti peternakan, atau bahkan menjadi wirausahawan dibidang peternakan. Dengan begitu, jurusan Ilmu dan Industri Peternakan memiliki peran yang sangat penting dalam mendukung pertumbuhan industri peternakan di Indonesia.","Jurusan Ilmu dan Industri Peternakan adalah jurusan yang cocok bagi orang yang menyukai bidang peternakan dan ingin mengembangkan pengetahuan serta keterampilan dalam industri peternakan. Orang yang menyukai hewan, pertanian, dan ingin berkontribusi dalam produksi pangan hewani akan sangat menikmati belajar di jurusan ini. Mereka akan mempelajari berbagai aspek peternakan, mulai dari manajemen ternak, reproduksi hewan, pakan ternak, hingga teknologi peternakan modern. Jurusan ini juga membuka peluang karier yang luas di berbagai sektor industri peternakan, seperti pengolahan produk hewani, kesehatan hewan, dan penelitian serta pengembangan di bidang peternakan.","1. Ilmu Ternak
2. Nutrisi Ternak
3. Genetika Ternak
4. Kesehatan Ternak
5. Sistem Reproduksi Ternak
6. Pengelolaan Ternak
7. Pemuliaan Ternak
8. Teknologi Peternakan
9. Ekonomi Peternakan
10. Manajemen Peternakan",0.20,0.30,0.20,0.10,0.55,0.10,0.20,0.20,0.10,0.00,0.20,0.30,0.30,0.20,0.20,0.20,0.40
206,PENDIDIKAN BAHASA JERMAN,716,"Jurusan Pendidikan Bahasa Jerman adalah program studi yang bertujuan untuk mengembangkan keahlian dalam berbagai aspek pengajaran dan pembelajaran bahasa Jerman. Para mahasiswa akan mempelajari keterampilan berbahasa Jerman secara mendalam, serta strategi pengajaran yang efektif untuk memfasilitasi proses belajar mengajar di kelas. Mereka juga akan belajar tentang budaya dan sejarah Jerman, sehingga dapat memberikan pemahaman yang lebih baik kepada siswa mereka.

Selain itu, mahasiswa jurusan Pendidikan Bahasa Jerman juga akan mempelajari teori-teori tentang linguistik, psikologi pendidikan, dan metode-metode pengajaran yang inovatif. Mereka akan dilatih untuk mengembangkan materi pembelajaran menarik dan relevan, serta mengevaluasi kemajuan belajar siswa secara sistematis.

Dengan lulus dari program studi Pendidikan Bahasa Jerman, para lulusan akan siap untuk menjadi pendidik profesional yang kompeten dalam mengajar bahasa Jerman kepada berbagai tingkatan dan kelompok usia. Mereka akan memiliki pengetahuan, keterampilan, dan sikap yang diperlukan untuk menjadi agen perubahan dalam dunia pendidikan, serta memperkaya keberagaman budaya dan bahasa di masyarakat.","Jurusan Pendidikan Bahasa Jerman adalah jurusan untuk orang yang menyukai bahasa Jerman dan memiliki minat dalam mengajar. Para mahasiswa jurusan ini akan mempelajari berbagai aspek bahasa Jerman, seperti tata bahasa, kosakata, dan keterampilan berbicara. Mereka juga akan belajar tentang sejarah dan budaya Jerman. Selain itu, para mahasiswa juga akan mempelajari metode pengajaran yang efektif untuk mendidik orang lain dalam bahasa Jerman. Jurusan ini cocok untuk orang yang ingin menjadi guru bahasa Jerman atau memiliki karir di bidang pendidikan, terutama dalam mengajar bahasa asing.","1. Dasar-dasar Bahasa Jerman
2. Tata Bahasa Bahasa Jerman
3. Sastra Jerman
4. Sejarah Bahasa Jerman
5. Linguistik Bahasa Jerman
6. Penulisan Kreatif Bahasa Jerman
7. Penerjemahan Bahasa Jerman
8. Komunikasi Lisan Bahasa Jerman
9. Komunikasi Tulis Bahasa Jerman
10. Kajian Budaya Jerman",0.00,0.00,0.10,0.30,0.10,0.10,0.10,0.20,0.20,0.60,0.70,0.15,0.10,0.20,0.60,0.20,0.10
207,PENGELOLAAN ARSIP DAN REKAMAN INFORMASI,708,"Jurusan kuliah mengenai Pengelolaan Arsip dan Rekaman Informasi merupakan program studi yang fokus pada pengelolaan dan pemeliharaan arsip serta rekaman informasi secara efisien dan terstruktur. Mahasiswa jurusan ini akan mempelajari berbagai teknik dan metode untuk mengorganisir dan menjaga keberlangsungan arsip dan rekaman informasi dalam lingkungan baik itu instansi pemerintah maupun swasta. Selain itu, mahasiswa juga akan belajar tentang kebijakan arsip, peraturan perundang-undangan terkait, serta teknologi informasi yang digunakan dalam pengelolaan arsip dan rekaman informasi. Dengan demikian, lulusan jurusan ini diharapkan dapat menjadi ahli dalam bidang pengelolaan arsip dan rekaman informasi yang dapat memberikan kontribusi positif dalam menjaga dan mengembangkan keberlangsungan informasi dalam suatu organisasi.","Jurusan pengelolaan arsip dan rekaman informasi adalah jurusan untuk orang yang tertarik dan menyukai dunia informasi dan dokumentasi. Orang yang memilih jurusan ini biasanya memiliki ketertarikan dalam mengelola dan menyusun informasi secara sistematis, serta memiliki keahlian dalam teknologi informasi. Mereka juga harus memiliki kemampuan analisis yang baik untuk menjaga keakuratan dan keamanan data. Selain itu, mereka harus jeli dan teliti dalam mencari informasi yang dibutuhkan serta memiliki kemampuan komunikasi yang baik untuk berinteraksi dengan berbagai pihak terkait. Jurusan ini cocok untuk orang-orang yang memiliki minat di bidang teknologi dan dokumentasi.","1. Pengantar Teknologi Informasi
2. Sistem Informasi 
3. Manajemen Informasi
4. Pengelolaan Arsip dan Rekaman Informasi
5. Sistem Basis Data
6. Kriptografi
7. Rekayasa Perangkat Lunak
8. Sistem Operasi
9. Jaringan Komputer
10. Analisis Data",0.65,0.30,0.40,0.20,0.20,0.10,0.55,0.40,0.10,0.10,0.20,0.20,0.20,0.20,0.20,0.20,0.10
208,TEKNOLOGI REKAYASA MULTIMEDIA,706,"Jurusan Teknologi Rekayasa Multimedia adalah program studi yang membahas pengembangan dan penerapan teknologi dalam bidang multimedia. Mahasiswa jurusan ini akan belajar tentang desain grafis, animasi, pengolahan audio dan video, serta pengembangan aplikasi multimedia. Mereka juga akan belajar tentang teknik-teknik fotografi, editing, dan produksi multimedia. Jurusan ini mempersiapkan mahasiswa untuk menjadi ahli multimedia yang mampu menciptakan konten digital yang kreatif dan inovatif. Selain itu, mahasiswa juga akan mempelajari tentang konsep-konsep dasar rekayasa perangkat lunak untuk mengembangkan sistem multimedia yang berkualitas. Karir yang dapat dijalani oleh lulusan jurusan ini antara lain sebagai desainer multimedia, animator, pengembang aplikasi multimedia, dan spesialis produksi konten digital.","Jurusan Teknologi Rekayasa Multimedia adalah jurusan untuk orang yang menyukai meleburkan kreativitas dengan teknologi. Para mahasiswa jurusan ini akan belajar tentang cara menggabungkan berbagai elemen multimedia seperti gambar, suara, teks, dan animasi untuk menciptakan produk-produk multimedia yang inovatif dan menarik. Mereka akan menggunakan berbagai software dan hardware untuk mendesain, mengembangkan, dan memproduksi konten multimedia yang bisa digunakan dalam berbagai industri seperti desain grafis, periklanan, produksi film, dan banyak lagi. Jurusan ini cocok bagi orang yang kreatif, inovatif, dan memiliki minat dalam teknologi dan multimedia.","1. Desain Grafis
2. Pemodelan 3D
3. Animasi
4. Fotografi
5. Video Editing
6. Interaksi Manusia dan Komputer
7. Pengolahan Citra
8. Desain Web
9. Desain Komunikasi Visual
10. Multimedia Kreatif",0.30,0.20,0.30,0.10,0.10,0.00,0.70,0.20,0.50,0.10,0.20,0.40,0.10,0.20,0.30,0.20,0.20
