NAMA,PEMINAT 2023,Description,for_who,Mata Kuliah,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum
PERPUSTAKAAN DAN ILMU INFORMASI,727,"Jurusan Ilmu Informasi adalah program studi yang mempelajari tentang pengelolaan informasi dalam berbagai bentuk baik secara tradisional maupun secara digital. Mahasiswa jurusan ini akan mempelajari teknologi informasi, manajemen informasi, sistem basis data, serta keamanan informasi. Mereka juga akan belajar analisis informasi untuk dapat menghasilkan keputusan yang tepat serta mengembangkan sistem informasi yang efektif dan efisien. Jurusan Ilmu Informasi memiliki peran yang penting dalam mendukung perkembangan teknologi informasi dan komunikasi di era digital ini.","Jurusan Perpustakaan dan Ilmu Informasi adalah jurusan yang cocok untuk orang yang memiliki ketertarikan dalam dunia literasi, informasi, dan pengetahuan. Para mahasiswa jurusan ini akan belajar tentang manajemen perpustakaan, sistem informasi, pengorganisasian dan pengelolaan informasi, serta teknologi terkini dalam bidang pengarsipan dan penyimpanan data. Mereka juga akan belajar tentang kemampuan analisis dan penelitian yang berkaitan dengan informasi, serta kemampuan komunikasi yang efektif dalam menyampaikan pengetahuan kepada orang lain. Jurusan ini membuka peluang karir di berbagai bidang seperti perpustakaan, penerbitan, media informasi, dan industri kreatif lainnya.","1. Perpustakaan Digital
2. Sistem Informasi
3. Manajemen Informasi
4. Pengembangan koleksi informasi
5. Literasi Informasi
6. Pengantar Ilmu Perpustakaan
7. Pengelolaan Informasi dan Dokumentasi
8. Metode Penelitian Ilmu Informasi
9. Database Management System
10. Etika Profesi Informasi",0.20,0.10,0.20,0.20,0.10,0.10,0.80,0.10,0.10,0.20,0.30,0.30,0.20,0.20,0.20,0.20,0.30
AGRONOMI,726,"AGRONOMI merupakan jurusan yang mempelajari secara mendalam tentang ilmu dan teknologi dalam bidang pertanian. Melalui jurusan ini, mahasiswa akan mempelajari berbagai teknik dan metode yang berkaitan dengan produksi tanaman, pemilihan bibit tanaman, pengelolaan lahan pertanian, pengendalian hama dan penyakit tanaman, serta penerapan teknologi pertanian yang inovatif. Selain itu, mahasiswa juga akan mempelajari tentang pengelolaan sumber daya alam dan lingkungan dalam konteks pertanian berkelanjutan. Dengan demikian, lulusan dari jurusan AGRONOMI diharapkan mampu menjadi ahli yang kompeten dalam meningkatkan produktivitas dan kesejahteraan petani serta berkontribusi dalam pembangunan sektor pertanian yang berkelanjutan.","Agronomi adalah jurusan yang cocok untuk orang yang memiliki minat dan kecintaan pada bidang pertanian serta ilmu tanah. Jurusan ini mempelajari seluk beluk tentang pengelolaan sumber daya alam seperti tanah, air, dan tanaman. Agronomi juga mempelajari teknik-teknik pertanian modern yang bertujuan untuk meningkatkan produktivitas tanaman dan menjaga keberlanjutan lingkungan. Orang yang memilih jurusan ini harus memiliki ketelitian, keahlian analitis, serta semangat untuk terus belajar mengenai inovasi pertanian. Kesungguhan dan ketekunan dalam bekerja dengan tanaman serta keinginan untuk berkontribusi dalam meningkatkan ketahanan pangan adalah hal yang penting dalam studi agronomi.","1. Dasar-dasar Pertanian
2. Agroklimatologi
3. Ilmu Tanah
4. Hama dan Penyakit Tanaman
5. Pemuliaan Tanaman
6. Ilmu Hama Tanaman
7. Konservasi Tanah dan Air
8. Agribisnis
9. Manajemen Agroindustri
10. Fisiologi Tanaman",0.20,0.40,0.20,0.20,0.30,0.10,0.45,0.70,0.10,0.10,0.10,0.40,0.10,0.30,0.10,0.20,0.10
PENDIDIKAN BAHASA JAWA,726," Jurusan Pendidikan Bahasa Jawa memiliki fokus pada pengembangan dan penerapan metode pengajaran Bahasa Jawa yang efektif. Mahasiswa dalam jurusan ini akan mempelajari berbagai aspek Bahasa Jawa, termasuk tata bahasa, struktur kalimat, keragaman dialek, sastra, dan budaya Jawa. Mereka juga akan belajar tentang strategi pengajaran Bahasa Jawa yang inovatif dan relevan dengan perkembangan zaman. Selain itu, mahasiswa jurusan Pendidikan Bahasa Jawa juga akan mengembangkan keterampilan dalam merancang kurikulum, evaluasi pembelajaran, dan memahami kebutuhan para siswa dalam mempelajari Bahasa Jawa. Sebagai lulusan jurusan ini, mereka memiliki kesempatan untuk menjadi guru Bahasa Jawa, peneliti bahasa dan sastra Jawa, atau pengembang kurikulum Bahasa Jawa.","Jurusan Pendidikan Bahasa Jawa adalah jurusan untuk orang yang memiliki minat dan kecintaan terhadap bahasa Jawa. Mereka yang memilih jurusan ini biasanya memiliki ketertarikan dalam mempelajari aspek-aspek bahasa Jawa, seperti tata bahasa, sastra, linguistik, dan sejarah bahasa Jawa. Mereka juga tertarik untuk menggali dan mempelajari kekayaan budaya dan kesusastraan Jawa. Selain itu, orang yang memilih jurusan ini juga memiliki tujuan untuk menjadi pendidik atau pengajar bahasa Jawa, baik di sekolah maupun dalam konteks lainnya. Jurusan ini sangat cocok bagi mereka yang ingin melestarikan dan mengembangkan kekayaan bahasa dan budaya Jawa.","1. Filsafat Bahasa Jawa
2. Sejarah Bahasa Jawa
3. Tata Bahasa Jawa
4. Sastra Jawa Kuno
5. Linguistik Bahasa Jawa
6. Semantik Bahasa Jawa
7. Fonologi Bahasa Jawa
8. Morfologi Bahasa Jawa
9. Pragmatik Bahasa Jawa
10. Pembelajaran Bahasa Jawa",0.10,0.30,0.20,0.30,0.10,0.10,0.20,0.00,0.10,0.60,0.60,0.30,0.20,0.20,0.30,0.30,0.20
TEKNIK SIPIL DAN LINGKUNGAN,725,"Jurusan Teknik Sipil dan Lingkungan adalah salah satu cabang ilmu teknik yang mempelajari tentang perencanaan, perancangan, dan konstruksi infrastruktur fisik seperti jalan, jembatan, gedung, serta manajemen lingkungan untuk menjaga keberlanjutan dan keseimbangan alam. Mahasiswa jurusan ini akan belajar tentang berbagai metode dan teknologi dalam merencanakan struktur bangunan, mengelola proyek konstruksi, serta memahami dampak lingkungan dari pembangunan tersebut. Mereka juga akan mempelajari tentang ketersediaan sumber daya alam, kualitas udara dan air, serta strategi dalam menjaga kelestarian lingkungan sekitar. Dengan demikian, lulusan jurusan Teknik Sipil dan Lingkungan diharapkan mampu menjadi profesional yang memiliki keahlian dalam membangun infrastruktur yang berkelanjutan serta peduli terhadap lingkungan sekitar.","Jurusan Teknik Sipil dan Lingkungan adalah jurusan ideal bagi orang yang menyukai tantangan, keberagaman, dan kreativitas dalam memecahkan masalah terkait infrastruktur, lingkungan, dan sumber daya alam. Mereka yang memilih jurusan ini harus memiliki keinginan untuk terlibat dalam pembangunan infrastruktur yang berkelanjutan dan ramah lingkungan, serta memiliki kemampuan analisis dan pemecahan masalah yang baik. Mereka juga harus memiliki rasa tanggung jawab yang tinggi terhadap lingkungan dan masyarakat sekitar. Dengan memilih jurusan ini, mereka akan dibekali dengan pengetahuan dan keterampilan untuk menghadapi tantangan dunia konstruksi dan lingkungan yang terus berkembang.","1. Mekanika Tanah
2. Beton Pracetak
3. Struktur Baja
4. Drainase Lingkungan
5. Teknik pengukuran
6. Manajemen Proyek Konstruksi
7. Transportasi
8. Hidrologi
9. Rekayasa Geoteknik
10. Perencanaan Tata Kota",0.60,0.30,0.70,0.10,0.10,0.10,0.30,0.30,0.20,0.10,0.40,0.60,0.10,0.30,0.10,0.30,0.20
ILMU DAN INDUSTRI PETERNAKAN,717,"Jurusan Ilmu dan Industri Peternakan adalah sebuah program studi yang mempelajari tentang ilmu peternakan dan pengelolaan bisnis peternakan secara holistik. Mahasiswa jurusan ini akan belajar mengenai berbagai aspek dalam industri peternakan, mulai dari manajemen peternakan, nutrisi ternak, pemuliaan ternak, kesehatan ternak, hingga pemasaran produk ternak.

Dengan demikian, lulusan jurusan Ilmu dan Industri Peternakan diharapkan memiliki pengetahuan dan keterampilan yang mendalam dalam mengelola usaha peternakan secara efisien dan berkelanjutan. Mereka juga diharapkan mampu mengembangkan inovasi untuk meningkatkan produktivitas ternak serta menerapkan prinsip-prinsip bisnis yang baik dalam mengelola usaha peternakan.

Selain itu, lulusan jurusan ini juga memiliki peluang kerja yang luas, baik di sektor peternakan maupun di berbagai industri yang berkaitan dengan produk ternak. Mereka dapat bekerja sebagai manajer peternakan, konsultan peternakan, penyuluhan pertanian, peneliti peternakan, atau bahkan menjadi wirausahawan dibidang peternakan. Dengan begitu, jurusan Ilmu dan Industri Peternakan memiliki peran yang sangat penting dalam mendukung pertumbuhan industri peternakan di Indonesia.","Jurusan Ilmu dan Industri Peternakan adalah jurusan yang cocok bagi orang yang menyukai bidang peternakan dan ingin mengembangkan pengetahuan serta keterampilan dalam industri peternakan. Orang yang menyukai hewan, pertanian, dan ingin berkontribusi dalam produksi pangan hewani akan sangat menikmati belajar di jurusan ini. Mereka akan mempelajari berbagai aspek peternakan, mulai dari manajemen ternak, reproduksi hewan, pakan ternak, hingga teknologi peternakan modern. Jurusan ini juga membuka peluang karier yang luas di berbagai sektor industri peternakan, seperti pengolahan produk hewani, kesehatan hewan, dan penelitian serta pengembangan di bidang peternakan.","1. Ilmu Ternak
2. Nutrisi Ternak
3. Genetika Ternak
4. Kesehatan Ternak
5. Sistem Reproduksi Ternak
6. Pengelolaan Ternak
7. Pemuliaan Ternak
8. Teknologi Peternakan
9. Ekonomi Peternakan
10. Manajemen Peternakan",0.20,0.30,0.20,0.10,0.55,0.10,0.20,0.20,0.10,0.00,0.20,0.30,0.30,0.20,0.20,0.20,0.40
PEND. GURU PAUD,717,"Pendidikan Guru PAUD adalah jurusan yang mengkhususkan diri dalam mencetak guru-guru yang kompeten dalam mengajar dan mendidik anak usia dini. Jurusan ini memberikan pengetahuan dan keterampilan yang dibutuhkan untuk menjadi seorang guru PAUD yang berkualitas, termasuk dalam hal pengelolaan kelas, pembelajaran yang kreatif, pengembangan kurikulum, serta pemahaman mendalam tentang perkembangan anak usia dini. Selain itu, para mahasiswa jurusan Pendidikan Guru PAUD juga diajarkan untuk memahami berbagai metode dan pendekatan dalam mendidik anak usia dini sesuai dengan perkembangan kognitif, fisik, emosional, dan sosial mereka. Dengan demikian, lulusan jurusan ini diharapkan dapat memberikan dampingan yang berkualitas bagi anak-anak usia dini dalam proses belajar dan tumbuh kembang mereka.","Jurusan Pendidikan Guru Paud adalah jurusan yang cocok untuk orang yang menyukai anak-anak, memiliki keinginan kuat untuk mendidik generasi muda, dan menyukai proses belajar mengajar di usia dini. Di dalam jurusan ini, siswa akan mempelajari berbagai metode pengajaran yang sesuai dengan perkembangan anak usia dini, serta belajar cara merancang program dan kurikulum yang mendukung pertumbuhan dan perkembangan anak-anak. Selain itu, jurusan ini juga melatih mahasiswa untuk menjadi pembimbing yang baik bagi anak-anak, serta membantu mereka mengembangkan potensi dan bakat yang dimiliki. Sehingga, jurusan ini sangat cocok bagi mereka yang memiliki kepedulian dan dedikasi tinggi terhadap dunia pendidikan anak-anak.","1. Pendidikan Guru Pendidikan Anak Usia Dini
2. Manajemen Pendidikan
3. Psikologi Pendidikan
4. Pendidikan Bahasa Inggris
5. Pendidikan Matematika
6. Teknologi Pendidikan
7. Pendidikan Jasmani
8. Pendidikan Seni
9. Pendidikan Agama
10. Pendidikan Teknik Informatika",0.50,0.20,0.20,0.20,0.10,0.10,0.50,0.20,0.20,0.10,0.70,0.40,0.10,0.20,0.20,0.20,0.10
PENDIDIKAN BAHASA JERMAN,716,"Jurusan Pendidikan Bahasa Jerman adalah program studi yang bertujuan untuk mengembangkan keahlian dalam berbagai aspek pengajaran dan pembelajaran bahasa Jerman. Para mahasiswa akan mempelajari keterampilan berbahasa Jerman secara mendalam, serta strategi pengajaran yang efektif untuk memfasilitasi proses belajar mengajar di kelas. Mereka juga akan belajar tentang budaya dan sejarah Jerman, sehingga dapat memberikan pemahaman yang lebih baik kepada siswa mereka.

Selain itu, mahasiswa jurusan Pendidikan Bahasa Jerman juga akan mempelajari teori-teori tentang linguistik, psikologi pendidikan, dan metode-metode pengajaran yang inovatif. Mereka akan dilatih untuk mengembangkan materi pembelajaran menarik dan relevan, serta mengevaluasi kemajuan belajar siswa secara sistematis.

Dengan lulus dari program studi Pendidikan Bahasa Jerman, para lulusan akan siap untuk menjadi pendidik profesional yang kompeten dalam mengajar bahasa Jerman kepada berbagai tingkatan dan kelompok usia. Mereka akan memiliki pengetahuan, keterampilan, dan sikap yang diperlukan untuk menjadi agen perubahan dalam dunia pendidikan, serta memperkaya keberagaman budaya dan bahasa di masyarakat.","Jurusan Pendidikan Bahasa Jerman adalah jurusan untuk orang yang menyukai bahasa Jerman dan memiliki minat dalam mengajar. Para mahasiswa jurusan ini akan mempelajari berbagai aspek bahasa Jerman, seperti tata bahasa, kosakata, dan keterampilan berbicara. Mereka juga akan belajar tentang sejarah dan budaya Jerman. Selain itu, para mahasiswa juga akan mempelajari metode pengajaran yang efektif untuk mendidik orang lain dalam bahasa Jerman. Jurusan ini cocok untuk orang yang ingin menjadi guru bahasa Jerman atau memiliki karir di bidang pendidikan, terutama dalam mengajar bahasa asing.","1. Dasar-dasar Bahasa Jerman
2. Tata Bahasa Bahasa Jerman
3. Sastra Jerman
4. Sejarah Bahasa Jerman
5. Linguistik Bahasa Jerman
6. Penulisan Kreatif Bahasa Jerman
7. Penerjemahan Bahasa Jerman
8. Komunikasi Lisan Bahasa Jerman
9. Komunikasi Tulis Bahasa Jerman
10. Kajian Budaya Jerman",0.00,0.00,0.10,0.30,0.10,0.10,0.10,0.20,0.20,0.60,0.70,0.15,0.10,0.20,0.60,0.20,0.10
PENGELOLAAN ARSIP DAN REKAMAN INFORMASI,708,"Jurusan kuliah mengenai Pengelolaan Arsip dan Rekaman Informasi merupakan program studi yang fokus pada pengelolaan dan pemeliharaan arsip serta rekaman informasi secara efisien dan terstruktur. Mahasiswa jurusan ini akan mempelajari berbagai teknik dan metode untuk mengorganisir dan menjaga keberlangsungan arsip dan rekaman informasi dalam lingkungan baik itu instansi pemerintah maupun swasta. Selain itu, mahasiswa juga akan belajar tentang kebijakan arsip, peraturan perundang-undangan terkait, serta teknologi informasi yang digunakan dalam pengelolaan arsip dan rekaman informasi. Dengan demikian, lulusan jurusan ini diharapkan dapat menjadi ahli dalam bidang pengelolaan arsip dan rekaman informasi yang dapat memberikan kontribusi positif dalam menjaga dan mengembangkan keberlangsungan informasi dalam suatu organisasi.","Jurusan pengelolaan arsip dan rekaman informasi adalah jurusan untuk orang yang tertarik dan menyukai dunia informasi dan dokumentasi. Orang yang memilih jurusan ini biasanya memiliki ketertarikan dalam mengelola dan menyusun informasi secara sistematis, serta memiliki keahlian dalam teknologi informasi. Mereka juga harus memiliki kemampuan analisis yang baik untuk menjaga keakuratan dan keamanan data. Selain itu, mereka harus jeli dan teliti dalam mencari informasi yang dibutuhkan serta memiliki kemampuan komunikasi yang baik untuk berinteraksi dengan berbagai pihak terkait. Jurusan ini cocok untuk orang-orang yang memiliki minat di bidang teknologi dan dokumentasi.","1. Pengantar Teknologi Informasi
2. Sistem Informasi 
3. Manajemen Informasi
4. Pengelolaan Arsip dan Rekaman Informasi
5. Sistem Basis Data
6. Kriptografi
7. Rekayasa Perangkat Lunak
8. Sistem Operasi
9. Jaringan Komputer
10. Analisis Data",0.65,0.30,0.40,0.20,0.20,0.10,0.55,0.40,0.10,0.10,0.20,0.20,0.20,0.20,0.20,0.20,0.10
TEKNOLOGI REKAYASA MULTIMEDIA,706,"Jurusan Teknologi Rekayasa Multimedia adalah program studi yang membahas pengembangan dan penerapan teknologi dalam bidang multimedia. Mahasiswa jurusan ini akan belajar tentang desain grafis, animasi, pengolahan audio dan video, serta pengembangan aplikasi multimedia. Mereka juga akan belajar tentang teknik-teknik fotografi, editing, dan produksi multimedia. Jurusan ini mempersiapkan mahasiswa untuk menjadi ahli multimedia yang mampu menciptakan konten digital yang kreatif dan inovatif. Selain itu, mahasiswa juga akan mempelajari tentang konsep-konsep dasar rekayasa perangkat lunak untuk mengembangkan sistem multimedia yang berkualitas. Karir yang dapat dijalani oleh lulusan jurusan ini antara lain sebagai desainer multimedia, animator, pengembang aplikasi multimedia, dan spesialis produksi konten digital.","Jurusan Teknologi Rekayasa Multimedia adalah jurusan untuk orang yang menyukai meleburkan kreativitas dengan teknologi. Para mahasiswa jurusan ini akan belajar tentang cara menggabungkan berbagai elemen multimedia seperti gambar, suara, teks, dan animasi untuk menciptakan produk-produk multimedia yang inovatif dan menarik. Mereka akan menggunakan berbagai software dan hardware untuk mendesain, mengembangkan, dan memproduksi konten multimedia yang bisa digunakan dalam berbagai industri seperti desain grafis, periklanan, produksi film, dan banyak lagi. Jurusan ini cocok bagi orang yang kreatif, inovatif, dan memiliki minat dalam teknologi dan multimedia.","1. Desain Grafis
2. Pemodelan 3D
3. Animasi
4. Fotografi
5. Video Editing
6. Interaksi Manusia dan Komputer
7. Pengolahan Citra
8. Desain Web
9. Desain Komunikasi Visual
10. Multimedia Kreatif",0.30,0.20,0.30,0.10,0.10,0.00,0.70,0.20,0.50,0.10,0.20,0.40,0.10,0.20,0.30,0.20,0.20
PENDIDIKAN MANAJEMEN PERKANTORAN,704,"Jurusan Pendidikan Manajemen Perkantoran merupakan program studi yang mempelajari tentang praktik manajemen di lingkungan perkantoran. Melalui program ini, mahasiswa akan belajar tentang berbagai keterampilan manajemen yang diperlukan untuk mengelola operasi perkantoran dengan efisien. Selain itu, mahasiswa juga akan mempelajari tentang teknologi informasi yang digunakan dalam manajemen perkantoran, komunikasi bisnis, administrasi perkantoran, serta berbagai aspek lain yang terkait dengan pengelolaan perkantoran. Program studi ini bertujuan untuk menghasilkan lulusan yang memiliki pemahaman yang mendalam tentang manajemen perkantoran sehingga mampu menjadi profesional yang kompeten di bidang ini.","Jurusan Pendidikan Manajemen Perkantoran adalah jurusan yang cocok untuk orang yang memiliki minat dan bakat dalam bidang manajemen administrasi, organisasi, dan teknologi perkantoran. Para mahasiswa jurusan ini akan belajar tentang pengelolaan informasi, penggunaan teknologi dalam pengelolaan kantor, serta keterampilan komunikasi dan kepemimpinan yang diperlukan dalam lingkungan kantor. Mereka juga akan mempelajari tentang perencanaan dan pengawasan administrasi kantor, serta strategi manajemen yang efektif untuk meningkatkan produktivitas dan efisiensi kerja. Jurusan ini sangat cocok untuk orang yang memiliki minat dalam dunia bisnis, manajemen, dan administrasi perkantoran.","1. Komunikasi Bisnis
2. Manajemen Sumber Daya Manusia
3. Manajemen Keuangan
4. Manajemen Operasional
5. Perilaku Organisasi
6. Etika Bisnis
7. Administrasi Perkantoran
8. Keamanan Informasi
9. Pengelolaan Arsip
10. Sistem Informasi Manajemen",0.50,0.30,0.20,0.20,0.10,0.10,0.50,0.55,0.20,0.10,0.30,0.30,0.10,0.20,0.60,0.20,0.50
TEKNIK ALAT BERAT,702,"Teknik Alat Berat adalah jurusan kuliah yang mempelajari tentang perencanaan, pengembangan, dan pemeliharaan alat berat seperti truk, excavator, bulldozer, dan lain sebagainya. Mahasiswa jurusan ini akan memperdalam pengetahuan mereka tentang mesin-mesin berat tersebut serta cara mengoperasikannya dengan aman dan efisien. Mereka juga akan mempelajari tentang prinsip-prinsip desain, konstruksi, dan perawatan alat berat agar dapat bekerja di industri konstruksi, pertambangan, maupun industri lain yang membutuhkan penggunaan alat berat. Sebagai lulusan Teknik Alat Berat, mereka akan memiliki kemampuan untuk merencanakan, merawat, dan mengoperasikan alat berat dengan baik sesuai dengan standar keselamatan dan efisiensi kerja.","Jurusan Teknik Alat Berat adalah jurusan yang cocok untuk orang yang menyukai dunia konstruksi dan ingin bekerja dengan mesin-mesin besar seperti excavator, bulldozer, dan crane. Orang yang memilih jurusan ini biasanya memiliki kemampuan teknis yang baik, serta minat yang tinggi dalam melakukan perawatan, perbaikan, dan pengoperasian alat berat tersebut. Mereka harus memiliki keahlian khusus dalam mengoperasikan alat berat dengan aman dan efisien. Selain itu, jurusan ini juga cocok bagi orang yang ingin bekerja di bidang konstruksi, pertambangan, atau perkebunan yang membutuhkan penggunaan alat berat untuk menyelesaikan berbagai proyek secara efisien.","1. Teknik Konstruksi Bangunan
2. Teknik Jalan dan Jembatan
3. Teknik Pondasi
4. Teknik Struktur
5. Teknik Geoteknik
6. Teknik Transportasi
7. Teknik Hidrolik dan Pneumatik
8. Teknik Instrumentasi
9. Teknik Pemeliharaan Alat Berat
10. Teknik Operasional Alat Berat",0.30,0.30,0.30,0.10,0.10,0.10,0.10,0.35,0.20,0.00,0.30,0.30,0.10,0.30,0.20,0.10,0.10
MANAJEMEN AGRIBISNIS,700,"Manajemen Agribisnis adalah jurusan kuliah yang fokus pada pengelolaan bisnis di sektor pertanian dan agribisnis. Mahasiswa dalam jurusan ini akan mempelajari tentang manajemen sumber daya manusia, keuangan, pemasaran, dan operasi yang terkait dengan bisnis di sektor pertanian. Mereka juga akan mempelajari tentang tren pasar, teknologi pertanian, kebijakan pemerintah, dan isu-isu lingkungan yang terkait dengan agribisnis. Pada akhir program studi, mahasiswa diharapkan memiliki kemampuan untuk mengelola bisnis pertanian dengan efisien dan berkelanjutan serta dapat berkontribusi dalam pengembangan sektor pertanian yang lebih maju.","Jurusan Manajemen Agribisnis adalah jurusan yang cocok untuk orang yang menyukai bidang pertanian dan bisnis. Mahasiswa jurusan ini akan belajar tentang manajemen dalam konteks pertanian, mulai dari perencanaan hingga pemasaran produk pertanian. Mereka juga akan mempelajari cara mengelola usaha pertanian agar dapat berkembang dan menghasilkan keuntungan. Selain itu, mahasiswa akan belajar tentang keberlanjutan lingkungan dalam produksi pertanian. Jurusan ini membuka peluang karir sebagai manajer perkebunan, agribisnis, konsultan pertanian, atau menjadi pengusaha pertanian. Bagi yang memiliki minat dalam bidang pertanian dan bisnis, jurusan Manajemen Agribisnis merupakan pilihan yang tepat.","1. Pengantar Ekonomi
2. Perencanaan Agribisnis
3. Pengantar Bisnis
4. Agribisnis Pertanian
5. Pemasaran Agribisnis
6. Manajemen Sumber Daya Manusia
7. Analisis Pasar Agribisnis
8. Keuangan Agribisnis
9. Manajemen Produksi Agribisnis
10. Etika Bisnis",0.40,0.30,0.20,0.30,0.40,0.10,0.10,0.70,0.10,0.00,0.30,0.40,0.30,0.30,0.40,0.20,0.20
PERANCANGAN JALAN DAN JEMBATAN,687,"Perancangan jalan dan jembatan adalah salah satu jurusan kuliah yang mempelajari tentang perencanaan, desain, konstruksi, dan pemeliharaan jalan dan jembatan. Para mahasiswa jurusan ini akan belajar tentang pengukuran dan analisis kondisi jalan serta jembatan yang ada, pemilihan material yang sesuai untuk konstruksi, metode desain struktur jalan dan jembatan, serta pertimbangan keamanan dan keandalan dalam proses perancangan.

Selain itu, mahasiswa jurusan perancangan jalan dan jembatan juga akan mempelajari tentang teknologi terbaru dalam bidang infrastruktur transportasi, pengelolaan proyek konstruksi, regulasi dan kebijakan terkait pembangunan jalan dan jembatan, serta berbagai aspek lingkungan dan sosial yang harus dipertimbangkan dalam proses perencanaan. Jurusan ini menuntut keahlian dalam bidang rekayasa sipil dan kesadaran akan pentingnya infrastruktur transportasi yang efisien dan berkelanjutan bagi masa depan.","Jurusan perancangan jalan dan jembatan adalah jurusan yang cocok bagi orang yang menyukai perencanaan, desain, dan konstruksi infrastruktur transportasi. Mereka yang memilih jurusan ini harus memiliki minat dalam memecahkan masalah teknis, mengembangkan solusi kreatif, dan bekerja dalam tim proyek konstruksi. Selain itu, keahlian dalam pemodelan dan analisis struktur jalan dan jembatan juga sangat diperlukan. Para mahasiswa jurusan ini akan belajar tentang prinsip-prinsip desain sipil, manajemen proyek konstruksi, dan teknologi material konstruksi. Dengan lulus dari jurusan ini, mereka akan siap untuk bekerja di industri konstruksi dan mendukung pembangunan infrastruktur yang berkualitas.","1. Perencanaan Transportasi
2. Desain Jalan
3. Analisis Struktur Jembatan
4. Manajemen Proyek Konstruksi
5. Topografi dan Survey
6. Mekanika Tanah
7. Teknik Sipil Lanjutan
8. Bahan Konstruksi
9. Drainase dan Irigasi
10. Rehabilitasi Infrastruktur Jalan",0.60,0.30,0.60,0.10,0.30,0.25,0.10,0.20,0.30,0.00,0.20,0.30,0.10,0.20,0.20,0.10,0.10
"EKONOMI, KEUANGAN DAN PERBANKAN",685," EKONOMI, KEUANGAN DAN PERBANKAN adalah jurusan yang mempelajari konsep-konsep dasar ekonomi, keuangan, dan perbankan, serta aplikasinya dalam dunia nyata. Mahasiswa jurusan ini akan belajar mengenai teori ekonomi, analisis keuangan, manajemen risiko, investasi, dan berbagai aspek lain yang terkait dengan kegiatan ekonomi dan keuangan. Selain itu, mereka juga akan mempelajari tentang peraturan perbankan, kebijakan moneter, dan bagaimana industri keuangan berperan dalam perekonomian secara keseluruhan. Jurusan ini mempersiapkan mahasiswa untuk bekerja di berbagai bidang seperti perbankan, jasa keuangan, investasi, manajemen risiko, dan lain sebagainya.","Jurusan Ekonomi, Keuangan, dan Perbankan adalah jurusan yang cocok untuk orang yang memiliki minat dan keahlian dalam bidang bisnis, investasi, manajemen keuangan, dan analisis ekonomi. Orang-orang yang memilih jurusan ini biasanya memiliki ketertarikan dalam perencanaan keuangan, riset pasar, forecasting ekonomi, dan pengelolaan keuangan perusahaan. Mereka juga harus memiliki kemampuan analisis yang baik, kecerdasan finansial, serta kemampuan untuk mengambil keputusan yang tepat dalam situasi yang kompleks. Selain itu, mereka juga harus memiliki keterampilan komunikasi yang baik, kreativitas, dan kepemimpinan yang kuat. Seluruh materi kuliah yang diajarkan bertujuan untuk memberikan pemahaman mendalam tentang dunia ekonomi, keuangan, dan perbankan sehingga lulusan dapat menjadi ahli dan profesional yang sukses di bidang ini.","1. Ekonomi Mikro
2. Ekonomi Makro
3. Manajemen Keuangan
4. Perbankan Syariah
5. Analisis Laporan Keuangan
6. Pasar Modal
7. Perpajakan
8. Manajemen Risiko
9. Analisis Investasi
10. Bank dan Lembaga Keuangan",0.30,0.20,0.20,0.30,0.00,0.10,0.10,0.60,0.10,0.20,0.30,0.20,0.10,0.10,0.40,0.30,0.30
